,egypt_def,min_HAD,sudan_def,ethiopia_hydro
23397,1.7892499,172.13037,0.0,11.128178
23398,4.448708,152.45982,0.0,8.949132
23399,0.39148572,177.01543,0.0,16.512753
23400,5.9740095,152.60817,0.024291994,8.343442
23401,0.9591804,174.06679,0.0,14.371676
23402,1.5064144,172.49638,0.0,12.458459
23403,0.31900692,176.59772,0.0,17.205902
23404,1.9406366,172.94093,0.0,12.768936
23405,0.25133184,178.25734,0.0,15.7848835
23406,0.9028384,173.74838,0.0,13.9416
23407,2.9647417,169.41914,0.0,10.058111
23408,14.035583,151.72256,0.018993644,8.206359
23409,0.32953092,177.28108,0.0,16.641754
23410,0.952904,173.41959,0.0,14.0902605
23411,1.4267074,173.226,0.0,13.143037
23412,0.5425714,174.79428,0.0,16.035284
23413,0.5729329,173.72932,0.0,14.605606
23414,1.4172261,172.34862,0.0,13.14595
23415,0.38380134,177.10072,0.0,17.111433
23416,2.535953,171.62741,0.0,11.391048
23417,0.4282136,176.26137,0.0,16.653631
23418,10.006174,152.28891,0.08019382,6.1767597
23419,0.60295653,174.50581,0.0,15.81973
23420,1.381173,173.22743,0.0,13.370866
23421,13.989973,151.0497,0.0036785475,7.280424
23422,4.126876,152.8846,0.0,8.756898
23423,0.31184876,175.84363,0.0,15.076016
23424,1.5354356,173.03404,0.0,12.121446
23425,0.19824933,177.2743,0.0,17.312992
23426,0.9648431,173.00963,0.0,8.814248
23427,0.20038421,177.32129,0.0,17.230217
23428,14.541112,151.31886,0.1365071,5.222606
23429,0.30143294,178.411,0.0,16.848007
23430,4.051973,164.53488,0.0,9.658673
23431,3.5014596,155.32378,0.0,10.285689
23432,0.22457913,176.14302,0.0,15.42752
23433,0.36112088,176.09308,0.0,16.942131
23434,4.1566105,162.04547,0.0047264933,9.070228
23435,0.38043523,175.94475,0.0,16.755198
23436,0.38440385,176.948,0.0,16.876812
23437,3.4010346,153.47678,0.0,9.404637
23438,0.93875146,173.80232,0.0,12.595696
23439,0.30896053,176.85886,0.0,17.627678
23440,1.2229704,173.08582,0.0,14.288182
23441,0.2757123,177.24423,0.0,17.959072
23442,0.5670281,175.10667,0.0,15.885331
23443,0.7787329,173.55647,0.0,14.540896
23444,0.46762282,175.27545,0.0,15.517081
23445,1.1235921,172.96167,0.0,13.409136
23446,4.989983,157.29547,0.0,8.690407
23447,6.8733683,153.20634,0.0,10.055871
23448,0.8078076,174.27625,0.0,14.733481
23449,0.30920717,178.17406,0.0,16.695215
23450,2.7668333,170.31866,0.0,11.268704
23451,0.4987797,176.1997,0.0,14.882736
23452,0.20008409,177.22653,0.0,17.361805
23453,0.63522226,174.39116,0.0,15.721576
23454,0.3596613,176.1221,0.0,16.925652
23455,1.8156533,172.11818,0.0,11.27965
23456,0.54452926,175.4827,0.0,15.6999235
23457,0.4033718,175.33562,0.0,14.539248
23458,0.46647745,176.42162,0.0,16.422432
23459,2.2348368,171.46329,0.0,10.73559
23460,0.81035763,173.95316,0.0,14.054033
23461,2.8831158,161.11491,0.0,9.885803
23462,0.8213824,174.34665,0.0,14.980249
23463,3.2715747,155.82637,0.0,10.341724
23464,1.5740203,172.97699,0.0,12.070552
23465,6.745303,151.97305,0.0,8.450057
23466,9.03998,151.64668,0.058869954,6.334678
23467,0.24653155,179.00168,0.0,15.852731
23468,1.3829696,172.67699,0.0,12.925573
23469,0.47729012,176.42949,0.0,16.579561
23470,0.6920182,174.00046,0.0,15.260006
23471,1.6184872,173.03052,0.0,12.656628
23472,0.5825335,174.7344,0.0,16.018711
23473,0.47353292,175.36774,0.0,16.207258
23474,0.15433984,177.10416,0.0,17.090246
23475,1.6230978,172.80049,0.0,12.836974
23476,9.614781,152.80644,0.0,8.877453
23477,9.52964,151.4692,0.051245082,5.9215965
23478,13.54749,151.43546,0.12244671,5.508369
23479,9.437757,152.81331,0.0,9.061809
23480,0.45826066,175.36111,0.0,16.20514
23481,5.9937024,154.72527,0.00035043436,7.114624
23482,14.022757,151.62036,0.07538523,6.6026764
23483,2.4580646,171.45836,0.0,10.707697
23484,5.830963,152.87254,0.0,8.5705185
23485,0.36333245,176.8008,0.0,17.425283
23486,0.8063633,173.54079,0.0,14.220116
23487,14.195836,152.10071,0.0,7.2816567
23488,0.3074163,177.00941,0.0,16.781517
23489,0.6881704,174.22365,0.0,14.575363
23490,0.78248674,173.84564,0.0,14.818172
23491,0.44655573,177.07463,0.0,16.359241
23492,4.4773903,160.59245,0.004630928,8.628308
23493,1.9595975,172.18364,0.0,12.402809
23494,0.5918073,174.07024,0.0,16.094877
23495,1.0794027,173.5848,0.0,13.263865
23496,2.4498618,166.11307,0.0,10.514111
23497,0.2567913,179.05208,0.0,16.211737
23498,7.2378197,152.62617,0.037020657,6.5031056
23499,0.6723089,174.41705,0.0,15.07241
23500,0.17515667,177.19954,0.0,17.306643
23501,3.0742905,169.64925,0.0,10.987188
23502,0.9312123,173.56824,0.0,14.987939
23503,4.6142592,156.24619,0.0,9.322773
23504,0.48253787,175.03732,0.0,16.314913
23505,0.4182702,175.49666,0.0,16.460873
23506,12.505091,150.68959,0.14010286,5.525506
23507,0.7610233,174.39458,0.0,14.97956
23508,0.38815403,176.04156,0.0,15.856672
23509,1.3007239,172.563,0.0,13.287245
23510,0.78304815,174.85713,0.0,14.890752
23511,11.576198,152.61563,0.0,7.7915
23512,12.775654,150.63008,0.16171744,5.556187
